county,date,cases,name,population,population-per-100K,cases-per-100K,rate
Coke,2020-03-04,0,Coke,3387,0.03387,0.0,0.0
Coleman,2020-03-04,0,Coleman,8175,0.08175,0.0,0.0
Collin,2020-03-04,0,Collin,1034730,10.3473,0.0,0.0
Collingsworth,2020-03-04,0,Collingsworth,2920,0.0292,0.0,0.0
Colorado,2020-03-04,0,Colorado,21493,0.21493,0.0,0.0
Comal,2020-03-04,0,Comal,156209,1.56209,0.0,0.0
Comanche,2020-03-04,0,Comanche,13635,0.13635,0.0,0.0
Concho,2020-03-04,0,Concho,2726,0.02726,0.0,0.0
Cooke,2020-03-04,0,Cooke,41257,0.41257,0.0,0.0
Coryell,2020-03-04,0,Coryell,75951,0.75951,0.0,0.0
Cottle,2020-03-04,0,Cottle,1398,0.01398,0.0,0.0
Crane,2020-03-04,0,Crane,4797,0.04797,0.0,0.0
Crockett,2020-03-04,0,Crockett,3464,0.03464,0.0,0.0
Crosby,2020-03-04,0,Crosby,5737,0.05737,0.0,0.0
Culberson,2020-03-04,0,Culberson,2171,0.02171,0.0,0.0
Dallam,2020-03-04,0,Dallam,7287,0.07287,0.0,0.0
Dallas,2020-03-04,0,Dallas,2635516,26.35516,0.0,0.0
Dawson,2020-03-04,0,Dawson,12728,0.12728,0.0,0.0
Deaf Smith,2020-03-04,0,Deaf Smith,18546,0.18546,0.0,0.0
Delta,2020-03-04,0,Delta,5331,0.05331,0.0,0.0
Denton,2020-03-04,0,Denton,887207,8.87207,0.0,0.0
DeWitt,2020-03-04,0,DeWitt,20160,0.2016,0.0,0.0
Dickens,2020-03-04,0,Dickens,2211,0.02211,0.0,0.0
Dimmit,2020-03-04,0,Dimmit,10124,0.10124,0.0,0.0
Donley,2020-03-04,0,Donley,3278,0.03278,0.0,0.0
Duval,2020-03-04,0,Duval,11157,0.11157,0.0,0.0
Eastland,2020-03-04,0,Eastland,18360,0.1836,0.0,0.0
Ector,2020-03-04,0,Ector,166223,1.66223,0.0,0.0
Edwards,2020-03-04,0,Edwards,1932,0.01932,0.0,0.0
Ellis,2020-03-04,0,Ellis,184826,1.84826,0.0,0.0
El Paso,2020-03-04,0,El Paso,839238,8.39238,0.0,0.0
Erath,2020-03-04,0,Erath,42698,0.42698,0.0,0.0
Falls,2020-03-04,0,Falls,17297,0.17297,0.0,0.0
Fannin,2020-03-04,0,Fannin,35514,0.35514,0.0,0.0
Fayette,2020-03-04,0,Fayette,25346,0.25346,0.0,0.0
Fisher,2020-03-04,0,Fisher,3830,0.0383,0.0,0.0
Floyd,2020-03-04,0,Floyd,5712,0.05712,0.0,0.0
Foard,2020-03-04,0,Foard,1155,0.01155,0.0,0.0
Fort Bend,2020-03-04,0,Fort Bend,811688,8.11688,0.0,0.0
Franklin,2020-03-04,0,Franklin,10725,0.10725,0.0,0.0
Freestone,2020-03-04,0,Freestone,19717,0.19717,0.0,0.0
Frio,2020-03-04,0,Frio,20306,0.20306,0.0,0.0
Gaines,2020-03-04,0,Gaines,21492,0.21492,0.0,0.0
Galveston,2020-03-04,0,Galveston,342139,3.42139,0.0,0.0
Garza,2020-03-04,0,Garza,6229,0.06229,0.0,0.0
Gillespie,2020-03-04,0,Gillespie,26988,0.26988,0.0,0.0
Glasscock,2020-03-04,0,Glasscock,1409,0.01409,0.0,0.0
Goliad,2020-03-04,0,Goliad,7658,0.07658,0.0,0.0
Gonzales,2020-03-04,0,Gonzales,20837,0.20837,0.0,0.0
Gray,2020-03-04,0,Gray,21886,0.21886,0.0,0.0
Grayson,2020-03-04,0,Grayson,136212,1.36212,0.0,0.0
Gregg,2020-03-04,0,Gregg,123945,1.23945,0.0,0.0
Grimes,2020-03-04,0,Grimes,28880,0.2888,0.0,0.0
Guadalupe,2020-03-04,0,Guadalupe,166847,1.66847,0.0,0.0
