county,date,deaths,name,population,population-per-100K,deaths-per-100K
Madison,2020-03-08,0,Madison,14284.0,0.14284,0.0
Marion,2020-03-08,0,Marion,9854.0,0.09854,0.0
Martin,2020-03-08,0,Martin,5771.0,0.05771,0.0
Mason,2020-03-08,0,Mason,4274.0,0.04274,0.0
Matagorda,2020-03-08,0,Matagorda,36643.0,0.36643,0.0
Maverick,2020-03-08,0,Maverick,58722.0,0.58722,0.0
Mcculloch,2020-03-08,0,,,,
Mclennan,2020-03-08,0,,,,
Mcmullen,2020-03-08,0,,,,
Medina,2020-03-08,0,Medina,51584.0,0.51584,0.0
Menard,2020-03-08,0,Menard,2138.0,0.02138,0.0
Midland,2020-03-08,0,Midland,176832.0,1.76832,0.0
Milam,2020-03-08,0,Milam,24823.0,0.24823,0.0
Mills,2020-03-08,0,Mills,4873.0,0.04873,0.0
Mitchell,2020-03-08,0,Mitchell,8545.0,0.08545,0.0
Montague,2020-03-08,0,Montague,19818.0,0.19818,0.0
Montgomery,2020-03-08,0,Montgomery,607391.0,6.07391,0.0
Moore,2020-03-08,0,Moore,20940.0,0.2094,0.0
Morris,2020-03-08,0,Morris,12388.0,0.12388,0.0
Motley,2020-03-08,0,Motley,1200.0,0.012,0.0
Nacogdoches,2020-03-08,0,Nacogdoches,65204.0,0.65204,0.0
Navarro,2020-03-08,0,Navarro,50113.0,0.50113,0.0
Newton,2020-03-08,0,Newton,13595.0,0.13595,0.0
Nolan,2020-03-08,0,Nolan,14714.0,0.14714,0.0
Nueces,2020-03-08,0,Nueces,362294.0,3.62294,0.0
Ochiltree,2020-03-08,0,Ochiltree,9836.0,0.09836,0.0
Oldham,2020-03-08,0,Oldham,2112.0,0.02112,0.0
Orange,2020-03-08,0,Orange,83396.0,0.83396,0.0
Palo pinto,2020-03-08,0,,,,
Panola,2020-03-08,0,Panola,23194.0,0.23194,0.0
Parker,2020-03-08,0,Parker,142878.0,1.42878,0.0
Parmer,2020-03-08,0,Parmer,9605.0,0.09605,0.0
Pecos,2020-03-08,0,Pecos,15823.0,0.15823,0.0
Polk,2020-03-08,0,Polk,51353.0,0.51353,0.0
Potter,2020-03-08,0,Potter,117415.0,1.17415,0.0
Presidio,2020-03-08,0,Presidio,6704.0,0.06704,0.0
Rains,2020-03-08,0,Rains,12514.0,0.12514,0.0
Randall,2020-03-08,0,Randall,137713.0,1.37713,0.0
Reagan,2020-03-08,0,Reagan,3849.0,0.03849,0.0
Real,2020-03-08,0,Real,3452.0,0.03452,0.0
Red river,2020-03-08,0,,,,
Reeves,2020-03-08,0,Reeves,15976.0,0.15976,0.0
Refugio,2020-03-08,0,Refugio,6948.0,0.06948,0.0
Roberts,2020-03-08,0,Roberts,854.0,0.00854,0.0
Robertson,2020-03-08,0,Robertson,17074.0,0.17074,0.0
Rockwall,2020-03-08,0,Rockwall,104915.0,1.04915,0.0
Runnels,2020-03-08,0,Runnels,10264.0,0.10264,0.0
Rusk,2020-03-08,0,Rusk,54406.0,0.54406,0.0
Sabine,2020-03-08,0,Sabine,10542.0,0.10542,0.0
San augustine,2020-03-08,0,,,,
San jacinto,2020-03-08,0,,,,
San patricio,2020-03-08,0,,,,
San saba,2020-03-08,0,,,,
Schleicher,2020-03-08,0,Schleicher,2793.0,0.02793,0.0
Scurry,2020-03-08,0,Scurry,16703.0,0.16703,0.0
Shackelford,2020-03-08,0,Shackelford,3265.0,0.03265,0.0
Shelby,2020-03-08,0,Shelby,25274.0,0.25274,0.0
Sherman,2020-03-08,0,Sherman,3022.0,0.03022,0.0
