county,date,deaths,name,population,population-per-100K,deaths-per-100K,rate
Crosby,2020-03-07,0,Crosby,5737.0,0.05737,0.0,0.0
Culberson,2020-03-07,0,Culberson,2171.0,0.02171,0.0,0.0
Dallam,2020-03-07,0,Dallam,7287.0,0.07287,0.0,0.0
Dallas,2020-03-07,0,Dallas,2635516.0,26.35516,0.0,0.0
Dawson,2020-03-07,0,Dawson,12728.0,0.12728,0.0,0.0
De witt,2020-03-07,0,,,,,
Deaf smith,2020-03-07,0,,,,,
Delta,2020-03-07,0,Delta,5331.0,0.05331,0.0,0.0
Denton,2020-03-07,0,Denton,887207.0,8.87207,0.0,0.0
Dickens,2020-03-07,0,Dickens,2211.0,0.02211,0.0,0.0
Dimmit,2020-03-07,0,Dimmit,10124.0,0.10124,0.0,0.0
Donley,2020-03-07,0,Donley,3278.0,0.03278,0.0,0.0
Duval,2020-03-07,0,Duval,11157.0,0.11157,0.0,0.0
Eastland,2020-03-07,0,Eastland,18360.0,0.1836,0.0,0.0
Ector,2020-03-07,0,Ector,166223.0,1.66223,0.0,0.0
Edwards,2020-03-07,0,Edwards,1932.0,0.01932,0.0,0.0
El paso,2020-03-07,0,,,,,
Ellis,2020-03-07,0,Ellis,184826.0,1.84826,0.0,0.0
Erath,2020-03-07,0,Erath,42698.0,0.42698,0.0,0.0
Falls,2020-03-07,0,Falls,17297.0,0.17297,0.0,0.0
Fannin,2020-03-07,0,Fannin,35514.0,0.35514,0.0,0.0
Fayette,2020-03-07,0,Fayette,25346.0,0.25346,0.0,0.0
Fisher,2020-03-07,0,Fisher,3830.0,0.0383,0.0,0.0
Floyd,2020-03-07,0,Floyd,5712.0,0.05712,0.0,0.0
Foard,2020-03-07,0,Foard,1155.0,0.01155,0.0,0.0
Fort bend,2020-03-07,0,,,,,
Franklin,2020-03-07,0,Franklin,10725.0,0.10725,0.0,0.0
Freestone,2020-03-07,0,Freestone,19717.0,0.19717,0.0,0.0
Frio,2020-03-07,0,Frio,20306.0,0.20306,0.0,0.0
Gaines,2020-03-07,0,Gaines,21492.0,0.21492,0.0,0.0
Galveston,2020-03-07,0,Galveston,342139.0,3.42139,0.0,0.0
Garza,2020-03-07,0,Garza,6229.0,0.06229,0.0,0.0
Gillespie,2020-03-07,0,Gillespie,26988.0,0.26988,0.0,0.0
Glasscock,2020-03-07,0,Glasscock,1409.0,0.01409,0.0,0.0
Goliad,2020-03-07,0,Goliad,7658.0,0.07658,0.0,0.0
Gonzales,2020-03-07,0,Gonzales,20837.0,0.20837,0.0,0.0
Gray,2020-03-07,0,Gray,21886.0,0.21886,0.0,0.0
Grayson,2020-03-07,0,Grayson,136212.0,1.36212,0.0,0.0
Gregg,2020-03-07,0,Gregg,123945.0,1.23945,0.0,0.0
Grimes,2020-03-07,0,Grimes,28880.0,0.2888,0.0,0.0
Guadalupe,2020-03-07,0,Guadalupe,166847.0,1.66847,0.0,0.0
Hale,2020-03-07,0,Hale,33406.0,0.33406,0.0,0.0
Hall,2020-03-07,0,Hall,2964.0,0.02964,0.0,0.0
Hamilton,2020-03-07,0,Hamilton,8461.0,0.08461,0.0,0.0
Hansford,2020-03-07,0,Hansford,5399.0,0.05399,0.0,0.0
Hardeman,2020-03-07,0,Hardeman,3933.0,0.03933,0.0,0.0
