county,date,cases,name,population,rate
Shackelford,2020-03-04,0,Shackelford,3265,0.0
Shelby,2020-03-04,0,Shelby,25274,0.0
Sherman,2020-03-04,0,Sherman,3022,0.0
Smith,2020-03-04,0,Smith,232751,0.0
Somervell,2020-03-04,0,Somervell,9128,0.0
Starr,2020-03-04,0,Starr,64633,0.0
Stephens,2020-03-04,0,Stephens,9366,0.0
Sterling,2020-03-04,0,Sterling,1291,0.0
Stonewall,2020-03-04,0,Stonewall,1350,0.0
Sutton,2020-03-04,0,Sutton,3776,0.0
Swisher,2020-03-04,0,Swisher,7397,0.0
Tarrant,2020-03-04,0,Tarrant,2102515,0.0
Taylor,2020-03-04,0,Taylor,138034,0.0
Terrell,2020-03-04,0,Terrell,776,0.0
Terry,2020-03-04,0,Terry,12337,0.0
Throckmorton,2020-03-04,0,Throckmorton,1501,0.0
Titus,2020-03-04,0,Titus,32750,0.0
Tom Green,2020-03-04,0,Tom Green,119200,0.0
Travis,2020-03-04,0,Travis,1273954,0.0
Trinity,2020-03-04,0,Trinity,14651,0.0
Tyler,2020-03-04,0,Tyler,21672,0.0
Upshur,2020-03-04,0,Upshur,41753,0.0
Upton,2020-03-04,0,Upton,3657,0.0
Uvalde,2020-03-04,0,Uvalde,26741,0.0
Val Verde,2020-03-04,0,Val Verde,49025,0.0
Van Zandt,2020-03-04,0,Van Zandt,56590,0.0
Victoria,2020-03-04,0,Victoria,92084,0.0
Walker,2020-03-04,0,Walker,72971,0.0
Waller,2020-03-04,0,Waller,55246,0.0
Ward,2020-03-04,0,Ward,11998,0.0
Washington,2020-03-04,0,Washington,35882,0.0
Webb,2020-03-04,0,Webb,276652,0.0
Wharton,2020-03-04,0,Wharton,41556,0.0
Wheeler,2020-03-04,0,Wheeler,5056,0.0
Wichita,2020-03-04,0,Wichita,132230,0.0
Wilbarger,2020-03-04,0,Wilbarger,12769,0.0
Willacy,2020-03-04,0,Willacy,21358,0.0
Williamson,2020-03-04,0,Williamson,590551,0.0
Wilson,2020-03-04,0,Wilson,51070,0.0
Winkler,2020-03-04,0,Winkler,8010,0.0
Wise,2020-03-04,0,Wise,69984,0.0
Wood,2020-03-04,0,Wood,45539,0.0
Yoakum,2020-03-04,0,Yoakum,8713,0.0
Young,2020-03-04,0,Young,18010,0.0
Zapata,2020-03-04,0,Zapata,14179,0.0
